Unnamed: 0,QUANTIDADE,SUBSTÂNCIA,CNPJ,LABORATÓRIO,CÓDIGO GGREM,REGISTRO,EAN 1,EAN 2,EAN 3,PRODUTO,APRESENTAÇÃO,CLASSE TERAPÊUTICA,TIPO DE PRODUTO (STATUS DO PRODUTO),REGIME DE PREÇO,PF Sem Impostos,PF 0%,PF 12%,PF 17%,PF 17% ALC,"PF 17,5%","PF 17,5% ALC",PF 18%,PF 18% ALC,PF 20%,PMC 0%,PMC 12%,PMC 17%,PMC 17% ALC,"PMC 17,5%","PMC 17,5% ALC",PMC 18%,PMC 18% ALC,PMC 20%,RESTRIÇÃO HOSPITALAR,CAP,CONFAZ 87,ICMS 0%,ANÁLISE RECURSAL,LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS),COMERCIALIZAÇÃO 2020,TARJA,Concentração,Volumes,Unidades,Medida
17,1,ALBUMINA HUMANA,02.552.927/0001-60,OCTAPHARMA BRASIL LTDA,535319060003506,1397100030073,3660548036335,    -     ,    -     ,OCTALBIN,20 % SOL INJ CT 10 FA VD INC X 50 ML ,K3B3 - SOLUÇÕES DE PROTEINAS >5%,Novo,Regulado,"2600,88","2600,88","2955,55","3133,59","3133,59","3152,58","3152,58","3171,80","3171,80","3251,10",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,20 % ,CT,10,50 ML
18,1,ALBUMINA HUMANA,02.552.927/0001-60,OCTAPHARMA BRASIL LTDA,535300301159317,1397100030081,9006477036338,    -     ,    -     ,OCTALBIN,20 % SOL INJ CT FA VD INC X 50 ML ,K3B3 - SOLUÇÕES DE PROTEINAS >5%,Novo,Regulado,"260,09","260,09","295,56","313,36","313,36","315,26","315,26","317,18","317,18","325,11",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,20 % ,,,50 ML
19,1,ALBUMINA HUMANA,07.207.572/0001-95,LFB - HEMODERIVADOS E BIOTECNOLOGIA LTDA,539400201159410,1630700040019,7898924960110,    -     ,    -     ,VIALEBEX,20 PCC SOL INJ IV CT 1 FA VD TRANS X 50 ML,K3B3 - SOLUÇÕES DE PROTEINAS >5%,Biológico,Regulado,"234,65","234,65","266,65","282,71","282,71","284,42","284,42","286,16","286,16","293,31",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,20 PCC ,CT,1,50 ML
20,1,ALBUMINA HUMANA,09.284.952/0001-59,KEDRION BRASIL DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA,565717120000007,1757700010010,7898956093015,    -     ,    -     ,UMAN ALBUMIN,"0,2 G/ML SOL INFUS IV CT FR VD TRANS X 50 ML",K3B3 - SOLUÇÕES DE PROTEINAS >5%,Biológico,Regulado,"120,50","120,50","136,93","145,18","145,18","146,06","146,06","146,95","146,95","150,63",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"0,2 G/ML ",,,50 ML
22,1,ALFAPORACTANTO,61.363.032/0001-46,CHIESI FARMACÊUTICA LTDA,508501201154414,1005800670015,7896672201790,    -     ,    -     ,CUROSURF,"80 MG/ML SUS INJ CT FA VD INC X 1,5 ML",R7C - SURFACTANTES PULMONARES,Novo,Regulado,"1141,97","1141,97","1297,69","1375,87","1375,87","1384,21","1384,21","1392,65","1392,65","1427,46",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,80 MG/ML ,,,"1,5 ML"
25,1,ALTEPLASE,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,504500101153319,1036700490023,7896026301633,    -     ,    -     ,ACTILYSE,50 MG PO LIOF SOL INJ  CT  FA VD TRANS + FA DIL 50 ML + CANUL TRANS,B1D - FIBRINOLÍTICOS,Novo,Regulado,"2230,13","2230,13",,,,,,,,,,,,,,,,,,Sim,Não,Não,Sim,,Positiva,Sim,Tarja  Vermelha,50 MG ,,,50
27,1,ANIDULAFUNGINA,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522712120030006,1211002980014,7891045020510,    -     ,    -     ,ANIDULAFUNGINA,100 MG PO LIOF SOL INJ IV CT 1 FA VD TRANS,J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS,Genérico,Regulado,"246,84","246,84","280,50","297,40","297,40","299,20","299,20","301,02","301,02","308,55","341,24","387,77","411,14","411,14","413,63","413,63","416,14","416,14","426,55",Não,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,100 MG ,CT,1,
28,1,ANIDULAFUNGINA,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522718020073317,1211004310016,7891268111675,    -     ,    -     ,ECALTA,100 MG PO LIOF SOL INJ CT FA VD TRANS + SOL DIL FA VD TRANS X 30 ML ,J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS,Novo,Regulado,"709,17","709,17","805,88","854,42","854,42","859,60","859,60","864,84","864,84","886,46","980,39","1114,08","1181,19","1181,19","1188,35","1188,35","1195,59","1195,59","1225,48",Não,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),100 MG ,,,30 ML
29,1,ANIDULAFUNGINA,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522718020073417,1211004310059,7891268111798,    -     ,    -     ,ECALTA,100 MG PO LIOF SOL INJ CT 1 FA VD TRANS,J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS,Novo,Regulado,"410,48","410,48","466,45","494,55","494,55","497,55","497,55","500,59","500,59","513,10","567,46","644,84","683,69","683,69","687,83","687,83","692,04","692,04","709,33",Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),100 MG ,CT,1,
31,1,BESILATO DE ATRACÚRIO,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509521070035906,1004102240025,7899498609009,    -     ,    -     ,BESILATO DE ATRACÚRIO,10 MG/ML SOL INJ/DIL INFUS IV CX 25 AMP VD AMB X 5 ML,M3A - RELAXANTE MUSCULAR DE AÇÃO PERIFÉRICA,Genérico,Regulado,"614,28","614,28","698,05","740,10","740,10","744,58","744,58","749,12","749,12","767,85","849,21","965,01","1023,14","1023,14","1029,34","1029,34","1035,61","1035,61","1061,51",Não,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),10 MG/ML ,CX,25,5 ML
32,1,BESILATO DE ATRACÚRIO,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506714502155413,1029801350070,7896676410952,    -     ,    -     ,TRACUR,10 MG/ML SOL INJ CX 25 AMP VD TRANS X 5 ML,M3A - RELAXANTE MUSCULAR DE AÇÃO PERIFÉRICA,Similar,Regulado,"1031,85","1031,85","1172,56","1243,19","1243,19","1250,73","1250,73","1258,35","1258,35","1289,81",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,10 MG/ML ,CX,25,5 ML
35,1,BESILATO DE ATRACÚRIO,06.629.745/0001-09,NOVAFARMA INDÚSTRIA FARMACÊUTICA LTDA,526305401152111,1140200700058,7898487600805,    -     ,    -     ,BESILATO DE ATRACÚRIO,10 MG/ML SOL INJ IV CX 25 AMP VD TRANS X 5 ML  ,M3A - RELAXANTE MUSCULAR DE AÇÃO PERIFÉRICA,Genérico,Regulado,"574,89","574,89","653,28","692,64","692,64","696,84","696,84","701,09","701,09","718,61",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),10 MG/ML ,CX,25,5 ML
36,1,BESILATO DE ATRACÚRIO,02.433.631/0001-20,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,505618010042517,1376401680015,7895858016999,    -     ,    -     ,TRACRIUM,10 MG/ML SOL INJ CT 5 AMP VD TRANS X 5 ML,M3A - RELAXANTE MUSCULAR DE AÇÃO PERIFÉRICA,Novo,Regulado,"184,76","184,76","209,95","222,60","222,60","223,95","223,95","225,32","225,32","230,95",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,10 MG/ML ,CT,5,5 ML
57,1,BESILATO DE CISATRACÚRIO,64.171.697/0001-46,ACCORD FARMACÊUTICA LTDA,538018120026906,1553700620042,7898947385488,    -     ,    -     ,BESILATO DE CISATRACÚRIO,2 MG/ML SOL INJ IV CT FA VD TRANS X 25 ML,M3A - RELAXANTE MUSCULAR DE AÇÃO PERIFÉRICA,Genérico,Regulado,"94,76","94,76","107,68","114,17","114,17","114,86","114,86","115,56","115,56","118,45",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),2 MG/ML ,,,25 ML
66,1,BICARBONATO DE SÓDIO,01.571.702/0001-98,HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA,511216020031003,1031100200244,7896727869166,    -     ,    -     ,"SOLUÇÃO DE BICARBONATO DE SÓDIO 8,4% HALEX ISTAR",84 MG/ML SOL INFUS IV CX 45 BOLS PLAS TRANS SIST FECH X 250 ML,K1A5 - SOLUÇÕES ELETROLÍTICAS ADAPTANTES,Específico,Regulado,"1267,21","1267,21","1440,01","1526,76","1526,76","1536,01","1536,01","1545,38","1545,38","1584,01",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,84 MG/ML ,CX,45,250 ML
67,1,BICARBONATO DE SÓDIO,01.571.702/0001-98,HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA,511220120044207,1031100200252,7896727870766,    -     ,    -     ,"SOLUÇÃO DE BICARBONATO DE SÓDIO 8,4% HALEX ISTAR",84 MG/ML SOL INFUS IV CX 50 BOLS PLAS PEBD TRANS SIST FECH X 250 ML,K1A5 - SOLUÇÕES ELETROLÍTICAS ADAPTANTES,Específico,Regulado,"1503,61","1503,61","1708,65","1811,58","1811,58","1822,56","1822,56","1833,67","1833,67","1879,51",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja -(*),84 MG/ML ,CX,50,250 ML
68,1,BICARBONATO DE SÓDIO,01.571.702/0001-98,HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA,511220120044307,1031100200260,7896727870773,    -     ,    -     ,"SOLUÇÃO DE BICARBONATO DE SÓDIO 8,4% HALEX ISTAR",84 MG/ML SOL INFUS IV BOLS PLAS PEBD TRANS SIST FECH X 250 ML,K1A5 - SOLUÇÕES ELETROLÍTICAS ADAPTANTES,Específico,Regulado,"30,07","30,07","34,17","36,23","36,23","36,45","36,45","36,67","36,67","37,59",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja -(*),84 MG/ML ,,,250 ML
90,1,CLORIDRATO DE CEFEPIMA,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509521070034717,1004101930028,7899498608798,    -     ,    -     ,CLORIDRATO DE CEFEPIMA,1 G PO SOL INJ IV/IM  CX 10 FA VD TRANS,J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,"500,83","500,83","569,13","603,41","603,41","607,07","607,07","610,77","610,77","626,04",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),1 G ,CX,10,
92,1,CLORIDRATO DE CEFEPIMA,33.258.401/0001-03,INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA,513406105158112,1006302270021,7897406114393,    -     ,    -     ,CLORIDRATO DE CEFEPIMA,1 G PO SOL INJ IM/IV CX 50 FA VD TRANS,J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,"2533,74","2533,74","2879,25","3052,70","3052,70","3071,20","3071,20","3089,93","3089,93","3167,18",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),1 G ,CX,50,
94,1,CLORIDRATO DE CEFEPIMA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520724103151418,1037002910041,7896112132264,    -     ,    -     ,CLOCEF,1 G PO SOL INJ CX 50 FA AMP VD AMB,J1D2 - CEFALOSPORINAS INJETÁVEIS,Similar,Regulado,"3681,14","3681,14","4183,11","4435,11","4435,11","4461,99","4461,99","4489,19","4489,19","4601,43",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,1 G ,CX,50,
96,1,CLORIDRATO DE CEFEPIMA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520720010109307,1037006460032,7896112196129,    -     ,    -     ,CLORIDRATO DE CEFEPIMA,1 G PO SOL INJ CX 50 FA AMP VD AMB (EMB HOSP),J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,"1646,93","1646,93","1871,51","1984,25","1984,25","1996,28","1996,28","2008,45","2008,45","2058,66",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja -(*),1 G ,CX,50,
98,1,CLORIDRATO DE CEFEPIMA,04.301.884/0001-75,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,500120100039307,1516700140021,7898361881504,    -     ,    -     ,CLORIDRATO DE CEFEPIME,1 G PO P/ SOL INJ CT  FA VD TRANS X  DIL AMP VD TRANS X 3 ML,J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,"53,15","53,15","60,40","64,04","64,04","64,42","64,42","64,82","64,82","66,44",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),1 G ,,,3 ML
99,1,CLORIDRATO DE CEFEPIMA,04.301.884/0001-75,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,500101203154110,1516700140046,7898361881559,    -     ,    -     ,CLORIDRATO DE CEFEPIME,1 G PO P/ SOL INJ CT FA VD TRANS,J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,"53,15","53,15","60,40","64,04","64,04","64,42","64,42","64,82","64,82","66,44",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),1 G ,,,
101,1,CLORIDRATO DE CEFEPIMA,04.301.884/0001-75,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,500120100039107,1516700140062,7898361882365,    -     ,    -     ,CLORIDRATO DE CEFEPIME,1 G PO SOL INJ CT FA VD TRANS + BOLS PLAS TRANS SIST FECH X 100 ML,J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,"53,15","53,15","60,40","64,04","64,04","64,42","64,42","64,82","64,82","66,44",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),1 G ,,,100 ML
102,1,CLORIDRATO DE CEFEPIMA,04.301.884/0001-75,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,500120100039207,1516700140070,7898361882372,    -     ,    -     ,CLORIDRATO DE CEFEPIME,1 G PO SOL INJ CT 10 FA VD TRANS + 10 BOLS PLAS TRANS SIST FECH X 100 ML,J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,"531,46","531,46","603,93","640,31","640,31","644,19","644,19","648,12","648,12","664,33",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),1 G ,CT,10,100 ML
105,1,CLORIDRATO DE CEFEPIMA,04.301.884/0001-75,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,500120080036807,1516700140135,7898361886844,    -     ,    -     ,CLORIDRATO DE CEFEPIME,1 G PO P/ SOL INJ CT 50 FA VD TRANS,J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,"2431,15","2431,15","2762,67","2929,10","2929,10","2946,85","2946,85","2964,82","2964,82","3038,94",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),1 G ,CT,50,
107,1,CLORIDRATO DE CEFEPIMA,05.439.635/0001-03,ANTIBIÓTICOS DO BRASIL LTDA,501301004153112,1556200140021,7898911244278,    -     ,    -     ,CLORIDRATO DE CEFEPIMA,1 G PO SOL INJ CX 10 FA VD TRANS X 20 ML,J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,"528,81","528,81","600,92","637,12","637,12","640,98","640,98","644,89","644,89","661,01","731,05","830,74","880,78","880,78","886,12","886,12","891,52","891,52","913,81",Não,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,1 G ,CX,10,20 ML
108,1,CLORIDRATO DE CEFEPIMA,05.439.635/0001-03,ANTIBIÓTICOS DO BRASIL LTDA,501317080024906,1556200140038,7898911244308,    -     ,    -     ,CLORIDRATO DE CEFEPIMA,1 G PO SOL INJ CX 25 FA VD TRANS X 20 ML,J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,"1282,26","1282,26","1457,11","1544,89","1544,89","1554,25","1554,25","1563,73","1563,73","1602,83","1772,65","2014,37","2135,72","2135,72","2148,66","2148,66","2161,76","2161,76","2215,82",Não,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,1 G ,CX,25,20 ML
109,1,CLORIDRATO DE CEFEPIMA,05.439.635/0001-03,ANTIBIÓTICOS DO BRASIL LTDA,501301003157114,1556200140046,7898911244285,    -     ,    -     ,CLORIDRATO DE CEFEPIMA,1 G PO SOL INJ CT FA VD TRANS X 20 ML + DIL AMP PLAS TRANS X 10 ML,J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,"52,84","52,84","60,05","63,66","63,66","64,05","64,05","64,44","64,44","66,05","73,05","83,02","88,01","88,01","88,55","88,55","89,08","89,08","91,31",Não,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,1 G ,X,20,10 ML
110,1,CLORIDRATO DE CEFEPIMA,05.439.635/0001-03,ANTIBIÓTICOS DO BRASIL LTDA,501301002150116,1556200140054,7898911244292,    -     ,    -     ,CLORIDRATO DE CEFEPIMA,1 G PO SOL INJ IV CT FA VD TRANS X 20 ML + BOLS PLAS TRANS SIST FECH X 100 ML,J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,"57,83","57,83","65,72","69,67","69,67","70,10","70,10","70,52","70,52","72,29","79,95","90,85","96,31","96,31","96,91","96,91","97,49","97,49","99,94",Não,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,1 G ,X,20,100 ML
111,1,CLORIDRATO DE CEFEPIMA,05.439.635/0001-03,ANTIBIÓTICOS DO BRASIL LTDA,501301005151113,1556200140062,7898911244315,    -     ,    -     ,CLORIDRATO DE CEFEPIMA,1 G PO SOL INJ IV CX 10 FA VD TRANS X 20 ML + 10 BOLS PLAS TRANS SIST FECH X 100 ML,J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,"578,41","578,41","657,28","696,88","696,88","701,10","701,10","705,38","705,38","723,01","799,62","908,65","963,40","963,40","969,23","969,23","975,15","975,15","999,52",Não,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,1 G ,CX,10,100 ML
122,1,CEFTAZIDIMA,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510603401154314,1010701700036,7896269900518,    -     ,    -     ,FORTAZ,1G PO INJ CT 01 FA VD INC + DIL 10 ML,J1D2 - CEFALOSPORINAS INJETÁVEIS,Novo,Regulado,"46,12","46,12","52,41","55,57","55,57","55,90","55,90","56,24","56,24","57,65",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,1G ,CT,01,
123,1,CEFTAZIDIMA,58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,504414010044818,1163700800042,7896014685035,    -     ,    -     ,CEFTAZIDON,1000 MG PO INJ CX 20 FA VD TRANS,J1D2 - CEFALOSPORINAS INJETÁVEIS,Similar,Regulado,"919,20","919,20","1044,55","1107,47","1107,47","1114,18","1114,18","1120,98","1120,98","1149,00","1270,74","1444,03","1531,01","1531,01","1540,29","1540,29","1549,69","1549,69","1588,43",Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),1000 MG ,CX,20,
124,1,CEFTAZIDIMA,58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,504414010045118,1163700800050,7896014685042,    -     ,    -     ,CEFTAZIDON,1000 MG PO INJ CX 100 FA VD TRANS,J1D2 - CEFALOSPORINAS INJETÁVEIS,Similar,Regulado,"4612,19","4612,19","5241,13","5556,85","5556,85","5590,53","5590,53","5624,62","5624,62","5765,24",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),1000 MG ,CX,100,
125,1,CEFTAZIDIMA,04.301.884/0001-75,AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA,500100902156114,1516700100036,7898361881375,    -     ,    -     ,CEFTAZIDIMA,1 G PO SOL INJ CT 50 FA VD TRANS,J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,"1364,60","1364,60","1550,68","1644,10","1644,10","1654,06","1654,06","1664,15","1664,15","1705,75",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja Vermelha (*),1 G ,CT,50,
126,1,CEFTAZIDIMA,05.439.635/0001-03,ANTIBIÓTICOS DO BRASIL LTDA,501300802153413,1556200060034,7898901848189,    -     ,    -     ,KEFADIM,1 G PO SOL INJ CT 25 FA VD TRANS TIPO I,J1D2 - CEFALOSPORINAS INJETÁVEIS,Similar,Regulado,"838,00","838,00","952,27","1009,64","1009,64","1015,76","1015,76","1021,95","1021,95","1047,50",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),1 G ,CT,25,
